"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CAP";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEETURL";"DCR";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"ESR";"FREQUENCY";"HEIGHT";"IDC";"IDSMAX";"IMAX";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MKTG_PACKAGE";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"NSID";"PACKAGE";"POPULARITY";"POWER";"PURCHASE-URL";"QGTYP";"QUANTITY";"RDSON45";"RDSONAT10V";"REFDES";"RESISTANCE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SOURCELIBRARY";"SPICEPREFIX";"TOLERANCE";"TYPE";"VDC";"VDSMAX";"VENDOR";
"4";"";"LED_LEDCHIP-LED0603";"LED_CHIP-LED0603";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHEAD_PINHD-2X6";"PINHEAD_2X06";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1";"12V--LM3150_CRCW04021R00FKED";"12V--LM3150_0402";"R1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VishayDale";"CRCW04021R00FKED";"";"";"";"";"";"";"";"";"";"";"";"0.063";"";"";"";"";"";"";"1.0";"";"";"";"";"1.0";"";"";"";"VishayDale";
"1";"1.37k";"12V--LM3150_ERJ-6ENF1371V";"12V--LM3150_0805:1";"R3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ6ENF1371V";"";"";"";"";"";"";"";"";"";"";"";"0.125";"";"";"";"";"";"";"1370.0";"";"";"";"";"1.0";"";"";"";"Panasonic";
"1";"1.58k";"5V-LM3150MH_ERJ-6ENF1581V";"5V-LM3150MH_0805";"R8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ6ENF1581V";"";"";"";"";"";"";"";"";"";"";"";"0.125";"";"";"";"";"";"";"1580.0";"";"";"";"";"1.0";"";"";"";"Panasonic";
"2";"100K";"RCL_R-US_R0603";"RCL_R0603";"R20, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"100R";"RCL_R-US_R0603";"RCL_R0603";"R40, R41";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"100m";"5V-LM3150MH_ERJ-3RSFR10V";"5V-LM3150MH_0603";"R6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ3RSFR10V";"";"";"";"";"";"";"";"";"";"";"";"0.1";"";"";"";"";"";"";"0.1";"";"";"";"";"1.0";"";"";"";"Panasonic";
"1";"100nF";"12V--LM3150_C1005X5R1H104K050BB";"12V--LM3150_0402";"C11";"";"";"";"";"1.0E7";"";"";"httpsproduct.tdk.comensearchcapacitorceramicmlccinfo?part%5Fno%3DC1005X5R1H104K050BB";"";"";"";"";"";"";"0.039064";"";"";"";"";"";"0.814669";"";"TDK";"C1005X5R1H104K050BB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50.0";"";"TDK";
"1";"100nF";"5V-LM3150MH_CGA3E2X7R1H104K080AA";"5V-LM3150MH_0603";"C23";"";"";"";"";"1.0E7";"";"";"httpsproduct.tdk.comensearchcapacitorceramicmlccinfo?part%5Fno%3DCGA3E2X7R1H104K080AA";"";"";"";"";"";"";"0.0296";"";"";"";"";"";"0.97199";"";"TDK";"CGA3E2X7R1H104K080AA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50.0";"";"TDK";
"6";"10K";"MICROBUILDER_RESISTOR0603";"MICROBUILDER_0603:1";"R23, R24, R26, R33, R35, R36";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10K";"RCL_R-US_R0603";"RCL_R0603";"R5, R12, R15, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"10k";"5V-LM3150MH_CRCW080510K0FKEA";"5V-LM3150MH_0805";"R10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VishayDale";"CRCW080510K0FKEA";"";"";"";"";"";"";"";"";"";"";"";"0.125";"";"";"";"";"";"";"10000.0";"";"";"";"";"1.0";"";"";"";"VishayDale";
"2";"10uF";"5V-LM3150MH_C2012X5R1V106K085AC";"5V-LM3150MH_0805";"C21, C22";"";"";"";"";"1.0E5";"";"";"httpsproduct.tdk.comensearchcapacitorceramicmlccinfo?part%5Fno%3DC2012X5R1V106K085AC";"";"";"";"";"";"";"0.002818";"";"";"";"";"";"3.88676";"";"TDK";"C2012X5R1V106K085AC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35.0";"";"TDK";
"4";"10uF 50v";"RCL_C-EUC1206";"RCL_C1206";"C1, C2, C29, C36";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"10µF";"MICROBUILDER_CAP_CERAMIC0603";"MICROBUILDER_0603:1";"C39";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
